client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,clearing_code,bank_account,iban,swift,expired_date,last_update,wf_state
HOL,SUP0015,"Matthews, Lloyd and Turner","Hughes, Da",IT,N,N,GB524971817,,US,Z0,UKVAT,,INT,GBP,5,19-11-68,93370583,,,2025-10-23,2025-11-19,W
HOC,SUP0016,Johnson Ltd,Anderson-C,IT,N,N,GB269379374,82909480,US,Z0,UKVAT,30DAYS,BACS,GBP,5,94-23-27,45496015,,,,2025-10-16,W
HOC,SUP0017,"Turner, Hill and Coates",Davies Inc,IT,N,N,GB369639388,16818112,GB,EX,UKVAT,,BACS,GBP,5,15-10-52,27558317,,,,2025-05-10,T
HOL,SUP0018,"Young, Myers and Read",Griffiths-,PROP,N,N,,30005727,FR,S20,UKVAT,14DAYS,INT,GBP,0,65-26-15,51373735,,,,2025-12-24,T
HOC,SUP0019,Harper-Atkinson,"Smith, Kni",IT,P,Y,GB904745462,41774346,GB,S20,UKVAT,,BACS,GBP,0,32-52-62,99913412,,,,2025-05-24,T
HOL,SUP0020,Taylor LLC,"Buckley, R",GEN,C,N,GB594246837,40547349,GB,S20,UKVAT,60DAYS,BACS,GBP,10,52-45-18,47463522,,,,2024-08-30,T
HOL,SUP0021,Powell PLC,Anderson G,GEN,N,N,GB385042337,,FR,Z0,UKVAT,14DAYS,INT,GBP,5,65-87-75,25521714,,,,2024-06-22,T
HOC,SUP0022,Griffiths LLC,Smith-Smit,PROP,P,N,GB175133802,54318698,FR,Z0,UKVAT,30DAYS,CHAPS,GBP,5,74-49-95,64813568,,,,2025-04-06,W
HOL,SUP0023,"May, Cunningham and Jones",Stewart PL,UTIL,P,N,GB995205588,,GB,S20,UKVAT,,CHAPS,GBP,5,69-66-66,38682516,,,,2025-08-13,
HOL,SUP0024,Clarke Group,"O'Brien, H",GEN,N,N,GB313814138,,GB,S20,UKVAT,,INT,GBP,0,68-63-90,87265240,,,,2025-01-05,T
HOC,SUP0025,Murray Ltd,"Lawson, We",GEN,C,N,GB847229579,16740197,FR,S20,UKVAT,30DAYS,BACS,GBP,10,27-69-95,81287314,,,2024-06-03,2025-03-15,T
HOL,SUP0026,"Patel, Lyons and Price",Wilson LLC,PROP,C,N,GB609677794,43183955,US,Z0,UKVAT,,INT,GBP,0,45-66-19,48349783,,,,2025-02-24,T
HOC,SUP0027,Fox and Sons,"Quinn, Ham",UTIL,N,Y,GB858511779,65682626,DE,Z0,UKVAT,,BACS,USD,0,,,GB36TEST66390708,MIDLGB59,2024-06-14,2026-01-13,W
HOL,SUP0028,Townsend Inc,Bruce-Smit,IT,C,Y,GB888807316,90967191,GB,Z0,UKVAT,60DAYS,BACS,GBP,5,65-72-13,62191530,,,,2024-03-09,T
HOC,SUP0029,"Jones, Powell and Wood","Allen, Smi",PROP,P,N,GB735540030,13637575,GB,EX,UKVAT,,CHAPS,GBP,0,69-33-16,44917589,,,,2025-07-01,T
HOL,SUP0030,Bates-Glover,Nixon-Ali,CONS,N,N,GB904258674,56970882,GB,EX,UKVAT,30DAYS,CHAPS,GBP,0,13-41-35,12735359,,,,2025-06-03,T
HOC,SUP0031,"Holloway, Lambert and Willis",Ahmed LLC,CONS,T,N,GB280162221,25372341,GB,Z0,UKVAT,30DAYS,BACS,GBP,0,49-83-96,60372847,,,,2025-07-14,
HOC,SUP0032,Smith and Sons,"Patterson,",IT,T,N,GB707665448,56600900,FR,Z0,UKVAT,14DAYS,BACS,GBP,0,74-92-53,11698142,,,,2024-09-19,
HOL,SUP0033,Gardiner Inc,Mann-Davis,UTIL,C,N,GB798423334,82232344,DE,Z0,UKVAT,,BACS,GBP,5,51-41-21,47437115,,,,2025-05-29,T
HOL,SUP0034,Bentley PLC,Morgan and,GEN,C,N,GB327761953,44675473,GB,Z0,UKVAT,14DAYS,CHAPS,GBP,0,76-34-20,42394260,,,,2024-09-20,W
HOL,SUP0035,Stevenson Group,Taylor Inc,CONS,N,N,GB534222401,51098277,US,EX,UKVAT,14DAYS,CHAPS,USD,5,,,GB64TEST83871890,MIDLGB52,,2024-10-26,T
HOC,SUP0036,Lamb Group,Bennett-Th,UTIL,N,N,GB918394863,35708194,GB,EX,UKVAT,,BACS,GBP,5,85-77-86,47983442,,,2025-07-19,2025-04-05,T
HOC,SUP0037,Davison-Andrews,"Adams, Jon",PROP,N,N,,,GB,EX,UKVAT,60DAYS,BACS,GBP,10,23-11-83,48163378,,,,2024-11-08,T
HOL,SUP0038,Morgan PLC,"Freeman, M",CONS,N,N,GB179545125,17195288,GB,S20,UKVAT,14DAYS,BACS,GBP,0,41-25-81,65857931,,,,2024-05-10,T
HOL,SUP0039,"Jones, Bell and Hill",Hunt Inc,CONS,N,Y,GB766823010,,US,S20,UKVAT,60DAYS,CHAPS,EUR,5,,,GB94TEST20896797,MIDLGB30,,2024-07-17,
HOL,SUP0040,Rees Inc,"Taylor, Ah",PROP,C,N,,47945817,US,Z0,UKVAT,30DAYS,CHAPS,GBP,0,43-90-85,98742485,,,,2025-07-15,T
HOC,SUP0041,"Smith, Wright and Bibi",Moss-Armst,IT,N,N,,89865458,US,EX,UKVAT,14DAYS,BACS,GBP,10,25-69-98,50814428,,,,2025-04-30,W
HOC,SUP0042,Hudson-Martin,"McLean, Ph",PROP,N,Y,GB748232591,22257687,GB,EX,UKVAT,30DAYS,CHAPS,GBP,5,83-15-32,73149551,,,,2024-11-07,T
HOL,SUP0043,"Hodgson, Saunders and Mitchell",Bailey PLC,CONS,N,Y,GB457887167,24039158,GB,Z0,UKVAT,,INT,GBP,10,46-94-61,83832717,,,,2025-11-04,T
HOL,SUP0044,"Turner, Ford and Dobson",Daniels-St,PROP,N,Y,GB301415220,93568503,DE,EX,UKVAT,,BACS,GBP,0,36-44-80,27584297,,,2024-11-11,2024-09-24,
HOC,SUP0045,Shaw LLC,Fraser-Lee,UTIL,N,N,GB200082623,25228493,DE,S20,UKVAT,60DAYS,INT,GBP,10,47-75-44,65766169,,,,2024-10-07,T
HOL,SUP0046,"Stokes, Robinson and Gough","Bailey, Wa",UTIL,P,N,GB396618390,65692629,GB,EX,UKVAT,14DAYS,BACS,GBP,0,46-48-85,87835998,,,2024-09-19,2025-09-03,T
HOL,SUP0047,"Webb, Shaw and Pritchard",Cox and So,PROP,P,Y,GB445505799,42051937,FR,Z0,UKVAT,60DAYS,BACS,GBP,10,15-50-70,61167978,,,,2024-03-25,T
HOC,SUP0048,Bird-Kelly,Martin-Tho,PROP,P,N,GB572775194,,DE,S20,UKVAT,60DAYS,BACS,GBP,10,93-29-19,73013961,,,,2025-05-07,T
HOC,SUP0049,Lowe-Smith,Green Grou,IT,T,Y,GB773020489,75491202,FR,S20,UKVAT,30DAYS,CHAPS,GBP,0,90-97-46,40532691,,,,2024-11-15,
HOL,SUP0050,Thomas-Shepherd,Todd LLC,UTIL,T,N,GB149382425,17532195,GB,Z0,UKVAT,14DAYS,BACS,USD,0,,,GB41TEST81291936,MIDLGB62,,2025-08-02,T
HOL,SUP0051,Cox PLC,"Rowe, Pott",PROP,T,N,GB726160204,,DE,EX,UKVAT,14DAYS,INT,GBP,10,42-95-11,72445234,,,2024-03-11,2024-07-23,T
HOL,SUP0052,"Cooke, Kaur and Lee","Fisher, Sy",CONS,T,N,GB424400672,61632653,DE,S20,UKVAT,60DAYS,BACS,GBP,10,83-55-83,49711319,,,2025-04-06,2026-01-11,T
HOC,SUP0053,Sutton-Coles,Sutton and,PROP,T,Y,GB407298630,40885967,FR,Z0,UKVAT,60DAYS,INT,GBP,0,89-42-96,98473848,,,,2025-09-15,
HOL,SUP0054,"Smith, Webb and Porter",Simpson-Mo,CONS,N,N,GB196779973,53851498,US,Z0,UKVAT,60DAYS,BACS,EUR,0,,,GB79TEST59104566,MIDLGB77,,2025-04-29,T
HOL,SUP0055,Taylor and Sons,Jennings-P,IT,N,Y,GB251136695,40281491,US,EX,UKVAT,,CHAPS,GBP,5,21-60-11,45495029,,,,2024-10-25,T
HOL,SUP0056,Gill-Ali,"Taylor, Ba",IT,N,N,GB765233376,85350823,GB,EX,UKVAT,60DAYS,BACS,GBP,0,91-69-99,50559278,,,,2025-10-06,T
HOL,SUP0057,"Griffiths, Carr and Taylor",Ryan Group,CONS,N,N,GB677186272,,DE,Z0,UKVAT,,BACS,GBP,0,63-93-22,75679047,,,,2025-04-22,
HOL,SUP0058,Rogers-James,Wilson Ltd,CONS,N,N,,83076970,US,Z0,UKVAT,30DAYS,BACS,GBP,10,45-34-25,71031132,,,,2025-06-30,W
HOL,SUP0059,Matthews LLC,Morgan LLC,UTIL,N,N,,37804191,FR,S20,UKVAT,60DAYS,BACS,USD,0,,,GB86TEST10380581,MIDLGB45,,2025-09-07,T
HOC,SUP0060,Hart-Matthews,"Fry, Day a",GEN,N,N,GB946571918,53455870,GB,S20,UKVAT,14DAYS,BACS,GBP,0,26-63-77,25253751,,,,2024-10-03,T
HOC,SUP0061,Carpenter-Hunt,Thomas-And,CONS,P,N,GB146562851,98436473,FR,Z0,UKVAT,,INT,EUR,0,,,GB71TEST63904155,MIDLGB64,,2024-09-18,T
HOL,SUP0062,Briggs-Sinclair,"Robinson, ",PROP,N,N,GB770355806,83599154,US,Z0,UKVAT,,BACS,GBP,5,68-74-87,67740376,,,,2025-10-08,W
HOL,SUP0063,Smith Ltd,Winter-Ben,CONS,N,Y,GB586940738,22762205,GB,Z0,UKVAT,14DAYS,BACS,GBP,5,57-29-97,73655158,,,,2025-11-07,
HOC,SUP0064,"Holmes, Singh and Pratt",Hargreaves,PROP,N,N,GB541102414,99300492,DE,EX,UKVAT,30DAYS,BACS,GBP,5,86-49-55,23905032,,,,2025-06-30,T
HOC,SUP0065,"Wall, Johnson and Adams",Peters LLC,IT,P,N,GB399110343,67594492,FR,EX,UKVAT,30DAYS,BACS,GBP,5,13-33-44,51471222,,,2025-02-08,2026-01-27,T
HOL,SUP0066,"Gordon, Miles and Ahmed",Naylor-Luc,GEN,N,N,,60491958,DE,Z0,UKVAT,14DAYS,INT,EUR,5,,,GB49TEST53537934,MIDLGB82,,2025-12-11,T
HOC,SUP0067,"Singh, Davies and Poole","Pearce, St",GEN,N,Y,GB621475287,65590800,GB,S20,UKVAT,30DAYS,INT,GBP,5,65-24-46,89609131,,,,2024-03-21,T
HOC,SUP0068,Hussain-Sykes,"Jenkins, S",GEN,N,N,GB923935280,,GB,Z0,UKVAT,14DAYS,CHAPS,GBP,0,10-73-65,33581357,,,,2024-08-06,T
HOC,SUP0069,"Dobson, Jones and Hutchinson","Thompson, ",CONS,T,N,GB593657365,52018286,FR,Z0,UKVAT,,BACS,GBP,10,47-24-61,12799319,,,2025-08-11,2024-05-11,T
HOC,SUP0070,"Bibi, Green and Watson",Davies and,CONS,N,N,GB529979713,63118906,GB,EX,UKVAT,14DAYS,BACS,EUR,5,,,GB31TEST20251466,MIDLGB75,,2024-08-08,W
HOL,SUP0071,Kennedy Inc,Robinson P,UTIL,N,N,GB311818984,30517835,US,S20,UKVAT,60DAYS,BACS,GBP,10,69-82-84,70251043,,,,2024-07-04,W
HOC,SUP0072,Murphy Ltd,Chamberlai,CONS,N,Y,GB425150964,89379016,GB,Z0,UKVAT,30DAYS,BACS,GBP,5,69-67-14,17635653,,,,2025-04-15,
HOL,SUP0073,Kennedy Ltd,Lawrence I,CONS,P,N,GB969533218,35265073,GB,EX,UKVAT,,BACS,GBP,0,17-67-23,56095437,,,2025-11-08,2024-09-04,T
HOL,SUP0074,Lloyd-Roberts,"Weston, Pa",PROP,P,N,GB403754671,55414869,US,EX,UKVAT,30DAYS,CHAPS,GBP,5,18-52-22,84888554,,,,2025-04-18,T
HOC,SUP0075,Murphy Group,"Hill, Moor",IT,N,N,GB433108786,98870276,DE,S20,UKVAT,30DAYS,INT,GBP,5,81-58-92,54087376,,,,2024-03-18,W
HOL,SUP0076,Osborne-Peters,"Pugh, Walk",GEN,N,N,GB329987621,75266178,GB,S20,UKVAT,60DAYS,CHAPS,GBP,0,19-47-22,78140959,,,,2024-08-12,
HOC,SUP0077,Reid Group,Smith-Smit,PROP,C,N,GB992649957,93851247,GB,EX,UKVAT,,INT,GBP,0,62-56-96,41880763,,,2024-05-18,2025-04-17,T
HOL,SUP0078,"White, Hobbs and Jones",Robertson ,CONS,N,N,GB712483158,71965637,GB,Z0,UKVAT,,BACS,GBP,0,35-87-27,43554863,,,,2024-09-28,T
HOC,SUP0079,"Hussain, Dixon and Newton","Francis, H",IT,N,N,GB651208305,,DE,S20,UKVAT,60DAYS,BACS,GBP,10,54-13-63,17148018,,,,2025-01-16,T
HOL,SUP0080,Cole Inc,Miles-Free,UTIL,N,N,GB867407868,29602406,GB,S20,UKVAT,14DAYS,BACS,GBP,10,99-27-70,70210270,,,,2025-11-13,
HOL,SUP0081,Farmer-Lee,Franklin-J,GEN,N,N,GB151270577,95758649,FR,Z0,UKVAT,30DAYS,BACS,GBP,0,73-86-78,12205915,,,,2024-06-24,T
HOL,SUP0082,"Brown, Shaw and Allen",Bailey-Par,GEN,P,N,GB547286055,99686286,GB,EX,UKVAT,14DAYS,BACS,GBP,0,77-79-74,78131950,,,,2024-12-30,T
HOL,SUP0083,Davis-Watson,Powell-Hun,IT,T,N,GB172541521,98195059,US,S20,UKVAT,14DAYS,CHAPS,GBP,0,15-55-79,55439043,,,,2025-08-07,T
HOC,SUP0084,"Bartlett, Jones and Sharpe",Day-Holt,UTIL,N,Y,,36772387,GB,Z0,UKVAT,14DAYS,CHAPS,USD,10,,,GB42TEST14915156,MIDLGB92,,2025-02-02,
HOL,SUP0085,"Roberts, Wood and Gray",Robinson P,GEN,N,Y,GB898120571,61894582,GB,S20,UKVAT,,BACS,USD,5,,,GB76TEST45798645,MIDLGB20,,2025-11-14,T
HOL,SUP0086,Walker PLC,"Adams, Sho",IT,N,N,GB417440983,90882505,US,Z0,UKVAT,60DAYS,BACS,GBP,10,54-67-15,57319709,,,,2024-11-14,T
HOC,SUP0087,Clayton-Smith,Kelly-Mill,CONS,N,N,GB253308283,68810561,GB,S20,UKVAT,30DAYS,BACS,GBP,0,92-56-56,61385847,,,2025-12-31,2024-05-24,T
HOL,SUP0088,White-Watson,Smith-Reev,CONS,N,N,GB527385805,47405107,GB,S20,UKVAT,30DAYS,BACS,GBP,0,73-76-59,85386435,,,,2025-05-12,T
HOL,SUP0089,Morris Inc,Wilson-Ree,CONS,N,N,GB179512774,69741812,GB,EX,UKVAT,14DAYS,INT,GBP,5,18-80-79,48971765,,,,2025-08-25,T
HOC,SUP0090,"Thomas, Holland and Smith",Johnson an,GEN,N,N,GB630452018,,FR,EX,UKVAT,14DAYS,INT,USD,0,,,GB88TEST21571646,MIDLGB18,,2024-09-30,W
HOC,SUP0091,Jones Inc,"May, Hall ",UTIL,N,N,GB830261466,27224779,FR,EX,UKVAT,60DAYS,CHAPS,GBP,0,65-74-17,26664623,,,,2025-03-28,T
HOL,SUP0092,Thompson-Jenkins,"Edwards, H",PROP,N,N,GB781887358,46836194,GB,EX,UKVAT,14DAYS,BACS,GBP,0,74-92-31,89431184,,,2025-08-29,2025-08-11,W
HOL,SUP0093,Griffiths-Payne,Allen-Walk,PROP,N,N,,87412924,GB,EX,UKVAT,60DAYS,INT,GBP,10,89-91-13,76845536,,,,2024-07-24,T
HOL,SUP0094,Frost-Edwards,Wright Ltd,UTIL,T,Y,GB178354184,31217198,DE,Z0,UKVAT,,BACS,GBP,10,36-53-87,29282885,,,,2025-03-13,T
HOL,SUP0095,Warner LLC,"Foster, O'",PROP,P,N,GB600871106,,DE,S20,UKVAT,60DAYS,BACS,EUR,0,,,GB47TEST61559717,MIDLGB88,,2025-08-23,T
HOC,SUP0096,Ward Group,"Middleton,",UTIL,C,Y,GB431292818,22086184,DE,EX,UKVAT,,BACS,EUR,0,,,GB84TEST57364777,MIDLGB16,,2024-09-14,W
HOL,SUP0097,Fuller-Webb,Woods-Nort,PROP,N,N,GB383975609,64123845,GB,S20,UKVAT,,CHAPS,EUR,0,,,GB56TEST84252324,MIDLGB46,,2024-09-04,T
HOC,SUP0098,"Gould, Noble and Bishop","Dixon, Man",UTIL,N,Y,GB464090064,59070856,GB,S20,UKVAT,,BACS,EUR,0,,,GB14TEST28392710,MIDLGB52,,2024-08-20,T
HOC,SUP0099,Hall-Mason,"Phillips, ",IT,P,N,GB761962359,50162553,FR,Z0,UKVAT,,INT,GBP,5,70-12-57,54458225,,,,2024-12-03,W
HOL,SUP0100,White Group,Banks PLC,IT,T,N,GB726553348,80361272,US,EX,UKVAT,,BACS,GBP,0,97-41-14,86849080,,,2025-10-13,2025-07-22,
HOC,EC_M001,EC No Bank Details Ltd,"King, Holt",GEN,N,N,GB573561557,52103092,GB,S20,UKVAT,30DAYS,BACS,GBP,0,,,,,,2026-01-07,T
HOC,EC_M002,EC Sort Code No Account Ltd,Clayton-Ke,GEN,N,N,GB638824588,92071195,GB,S20,UKVAT,30DAYS,BACS,GBP,0,70-17-27,,,,,2026-01-20,T
HOC,EC_M003,EC IBAN No SWIFT Ltd,Cook-Shaw,GEN,N,N,GB702247585,53627409,GB,S20,UKVAT,30DAYS,BACS,GBP,0,,,GB32TEST71694994,,,2026-01-13,T
HOC,EC_M004,EC No VAT Ltd,"Shaw, Hump",GEN,N,N,,55946354,GB,S20,UKVAT,30DAYS,BACS,GBP,0,79-55-96,96343485,,,,2025-12-13,T
HOC,EC_M005,EC No Payment Terms Ltd,Cunningham,GEN,N,N,GB844439496,45482091,GB,S20,UKVAT,,BACS,GBP,0,88-71-34,43087238,,,,2026-01-16,T
HOC,EC_M006,EC No Currency Ltd,Jones-Reed,GEN,N,N,GB699240979,50063879,GB,S20,UKVAT,30DAYS,BACS,,0,38-48-46,37820354,,,,2025-12-20,T
HOC,EC_M007,EC Invalid VAT Ltd,"Jones, Ell",GEN,N,N,12345,75632882,GB,S20,UKVAT,30DAYS,BACS,GBP,0,50-71-54,85227370,,,,2025-12-05,T
HOC,EC_M008,EC Invalid Sort Code Ltd,Green and ,GEN,N,N,GB954059995,46702849,GB,S20,UKVAT,30DAYS,BACS,GBP,0,1234,82905845,,,,2026-01-09,T
HOC,EC_M009,EC Invalid Bank Account Ltd,Marshall-R,GEN,N,N,GB523625992,56323191,GB,S20,UKVAT,30DAYS,BACS,GBP,0,28-47-15,123,,,,2025-12-19,T
HOC,EC_M010,EC Expired But Active Ltd,"Connolly, ",GEN,N,N,GB184857208,56488123,GB,S20,UKVAT,30DAYS,BACS,GBP,0,66-93-42,74300930,,,2025-12-04,2026-01-20,T
HOC,EC_M011,EC BACS No Bank Ltd,"Walton, Pa",GEN,N,N,GB316968866,82286705,GB,S20,UKVAT,30DAYS,BACS,GBP,0,,,,,,2026-01-25,T
HOC,EC_M012,EC INT No IBAN Ltd,Smith-O'Ne,GEN,N,N,GB217281149,92634772,GB,S20,UKVAT,30DAYS,INT,EUR,0,85-40-41,16813620,,,,2025-12-22,T
HOC,EC_M013,EC Stuck Workflow Ltd,Saunders L,GEN,N,N,GB670201461,40289135,GB,S20,UKVAT,30DAYS,BACS,GBP,0,91-39-16,23448342,,,,2026-01-07,W
HOC,EC_M014,Duplicate Name Ltd,"Watson, Ma",GEN,N,N,GB111111111,73404979,GB,S20,UKVAT,30DAYS,BACS,GBP,0,22-97-27,10695441,,,,2025-12-29,T
HOC,EC_M015,Duplicate Name Ltd,"Jones, Woo",GEN,N,N,GB222222222,64614193,GB,S20,UKVAT,30DAYS,BACS,GBP,0,93-70-71,97313825,,,,2026-01-21,T
HOC,EC_M016,Cross House Supplier HOC,"Anderson, ",GEN,N,N,GB999999999,48553376,GB,S20,UKVAT,30DAYS,BACS,GBP,0,51-46-92,17940667,,,,2025-12-06,T
HOL,EC_M017,Cross House Supplier HOL,Wilson-Gar,GEN,N,N,GB999999999,22007214,GB,S20,UKVAT,30DAYS,BACS,GBP,0,93-83-39,81826922,,,,2025-12-17,T
HOC,EC_M018,EC Sundry Supplier,Walters an,GEN,N,Y,GB876441691,15006085,GB,S20,UKVAT,30DAYS,BACS,GBP,0,32-63-32,14877451,,,,2025-12-11,T
HOC,EC_M019,EC Stale Record Ltd,Thomas-Hol,GEN,N,N,GB526269674,76489301,GB,S20,UKVAT,30DAYS,BACS,GBP,0,33-47-14,11243818,,,,2022-01-24,T
HOC,EC_M020,EC Inactive With Trans Ltd,Harrison-C,GEN,C,N,GB709844411,90904160,GB,S20,UKVAT,30DAYS,BACS,GBP,0,23-52-46,70981700,,,,2025-12-23,T
